disease,drug
MIM246470,D00248
MIM254450,D00248
MIM263300,D00248
MIM276300,D00248
MIM143880,D00249
MIM166710,D00249
MIM167320,D00249
MIM602080,D00249
MIM146255,D00251
MIM161900,D00251
MIM179600,D00251
MIM215140,D00251
MIM600351,D00251
MIM602522,D00251
MIM608622,D00251
MIM102300,D00252
MIM104130,D00252
MIM128101,D00252
MIM165199,D00252
MIM181500,D00252
MIM190400,D00252
MIM109543,D00254
MIM137800,D00254
MIM236000,D00254
MIM247640,D00254
MIM254500,D00254
MIM267730,D00254
MIM276300,D00254
MIM161900,D00255
MIM607554,D00255
MIM608622,D00255
MIM103780,D00267
MIM226150,D00267
MIM145590,D00270
MIM181500,D00270
MIM125850,D00271
MIM125851,D00271
MIM125853,D00271
MIM600496,D00271
MIM161900,D00272
MIM608622,D00272
MIM304790,D00274
MIM109800,D00275
MIM133239,D00275
MIM182280,D00275
MIM236000,D00275
MIM254500,D00275
MIM256700,D00275
MIM259500,D00275
MIM273300,D00275
MIM276300,D00275
MIM144650,D00279
MIM102100,D00280
MIM102300,D00280
MIM140600,D00280
MIM165720,D00280
MIM167870,D00280
MIM181500,D00280
MIM208230,D00280
MIM254770,D00280
MIM254800,D00280
MIM607459,D00280
MIM607850,D00280
MIM102300,D00281
MIM137580,D00281
MIM143465,D00281
MIM144110,D00281
MIM147530,D00281
MIM161900,D00281
MIM171300,D00281
MIM601042,D00281
MIM607554,D00281
MIM608622,D00281
MIM114580,D00282
MIM212050,D00282
MIM181500,D00283
MIM155600,D00288
MIM155601,D00288
MIM236000,D00288
MIM256700,D00288
MIM268220,D00288
MIM276300,D00288
MIM131200,D00289
MIM215140,D00289
MIM600351,D00289
MIM601608,D00289
MIM125700,D00291
MIM134430,D00291
MIM304900,D00291
MIM600631,D00291
MIM600808,D00291
MIM125600,D00292
MIM133600,D00292
MIM145590,D00292
MIM152700,D00292
MIM153880,D00292
MIM166760,D00292
MIM181000,D00292
MIM188030,D00292
MIM208550,D00292
MIM215140,D00292
MIM223350,D00292
MIM233810,D00292
MIM254400,D00292
MIM276300,D00292
MIM600351,D00292
MIM601608,D00292
MIM156000,D00293
MIM217200,D00293
MIM601042,D00293
MIM109350,D00295
MIM190310,D00295
MIM264120,D00295
MIM304790,D00295
MIM607554,D00298
MIM608583,D00298
MIM146255,D00299
MIM241519,D00299
MIM145590,D00300
MIM147540,D00300
MIM158280,D00300
MIM608088,D00300
MIM601367,D00302
MIM115000,D00303
MIM157300,D00304
MIM300125,D00304
MIM109100,D00306
MIM161900,D00313
MIM203700,D00313
MIM208300,D00313
MIM210050,D00313
MIM215140,D00313
MIM256370,D00313
MIM600351,D00313
MIM608622,D00313
MIM140600,D00315
MIM147530,D00315
MIM165720,D00315
MIM208230,D00315
MIM607459,D00315
MIM607850,D00315
MIM109350,D00318
MIM190310,D00318
MIM304790,D00318
MIM600263,D00318
MIM161900,D00319
MIM179600,D00319
MIM608622,D00319
MIM147530,D00320
MIM104130,D00321
MIM109200,D00321
MIM147530,D00321
MIM200170,D00321
MIM600082,D00321
MIM114580,D00323
MIM212050,D00323
MIM208550,D00324
MIM600807,D00324
MIM114480,D00327
MIM215470,D00327
MIM241100,D00327
MIM233810,D00328
MIM103100,D00330
MIM140600,D00330
MIM153880,D00330
MIM165720,D00330
MIM208230,D00330
MIM607459,D00330
MIM607850,D00330
MIM143880,D00331
MIM146255,D00331
MIM161900,D00331
MIM166300,D00331
MIM203700,D00331
MIM208300,D00331
MIM210050,D00331
MIM215140,D00331
MIM256370,D00331
MIM600351,D00331
MIM608622,D00331
MIM102300,D00332
MIM144110,D00332
MIM147530,D00332
MIM157300,D00332
MIM165199,D00332
MIM190300,D00332
MIM208700,D00332
MIM267740,D00332
MIM300491,D00332
MIM600131,D00332
MIM604827,D00332
MIM607628,D00332
MIM607631,D00332
MIM607681,D00332
MIM607682,D00332
MIM608105,D00332
MIM144010,D00334
MIM144650,D00334
MIM260480,D00334
MIM125850,D00335
MIM125851,D00335
MIM125853,D00335
MIM600496,D00335
MIM125850,D00336
MIM125851,D00336
MIM125853,D00336
MIM600496,D00336
MIM102500,D00340
MIM125700,D00340
MIM161900,D00340
MIM208300,D00340
MIM215140,D00340
MIM600351,D00340
MIM608622,D00340
MIM144700,D00341
MIM155600,D00341
MIM155601,D00341
MIM187950,D00341
MIM263300,D00341
MIM276300,D00341
MIM605839,D00341
MIM109543,D00343
MIM151400,D00343
MIM236000,D00343
MIM247640,D00343
MIM273300,D00343
MIM276300,D00343
MIM161900,D00345
MIM215140,D00345
MIM256370,D00345
MIM600351,D00345
MIM608622,D00345
MIM601626,D00348
MIM604416,D00348
MIM161900,D00349
MIM179600,D00349
MIM608622,D00349
MIM114580,D00350
MIM212050,D00350
MIM258360,D00350
MIM602068,D00350
MIM102100,D00354
MIM181500,D00354
MIM217200,D00354
MIM239350,D00354
MIM109350,D00355
MIM190310,D00355
MIM600263,D00355
MIM137750,D00356
MIM137760,D00356
MIM161900,D00356
MIM601682,D00356
MIM147530,D00358
MIM144010,D00359
MIM608320,D00359
MIM125310,D00362
MIM146255,D00362
MIM161900,D00362
MIM608320,D00362
MIM608622,D00362
MIM167870,D00365
MIM189600,D00365
MIM252320,D00365
MIM254500,D00369
MIM256700,D00369
MIM268220,D00369
MIM208550,D00371
MIM210050,D00371
MIM600807,D00371
MIM181500,D00373
MIM181500,D00374
MIM104130,D00375
MIM145590,D00376
MIM200170,D00376
MIM601042,D00376
MIM266600,D00377
MIM137750,D00378
MIM137760,D00378
MIM157300,D00378
MIM161900,D00378
MIM300125,D00378
MIM601682,D00378
MIM608622,D00378
MIM125850,D00379
MIM125851,D00379
MIM125853,D00379
MIM600496,D00379
MIM125850,D00380
MIM125851,D00380
MIM125853,D00380
MIM600496,D00380
MIM146255,D00382
MIM161900,D00382
MIM166300,D00382
MIM208300,D00382
MIM215140,D00382
MIM600351,D00382
MIM608622,D00382
MIM146255,D00383
MIM161900,D00383
MIM608622,D00383
MIM104130,D00385
MIM114580,D00385
MIM133600,D00385
MIM147540,D00385
MIM148100,D00385
MIM151590,D00385
MIM152700,D00385
MIM165199,D00385
MIM173200,D00385
MIM181000,D00385
MIM188030,D00385
MIM208550,D00385
MIM223350,D00385
MIM203700,D00386
MIM208300,D00386
MIM210050,D00386
MIM215140,D00386
MIM600351,D00386
MIM145590,D00390
MIM147530,D00390
MIM104130,D00399
MIM104300,D00399
MIM125320,D00399
MIM181500,D00399
MIM217200,D00399
MIM239350,D00399
MIM605055,D00399
MIM161900,D00400
MIM608622,D00400
MIM275000,D00401
MIM147530,D00403
MIM109100,D00407
MIM140600,D00407
MIM146850,D00407
MIM147540,D00407
MIM208550,D00407
MIM276300,D00407
MIM208550,D00411
MIM208550,D00414
MIM600807,D00414
MIM157300,D00415
MIM104130,D00418
MIM161900,D00418
MIM608622,D00418
MIM140600,D00419
MIM190310,D00419
MIM146255,D00421
MIM161900,D00421
MIM608622,D00421
MIM109350,D00422
MIM190310,D00422
MIM304790,D00422
MIM140600,D00425
MIM147530,D00425
MIM137580,D00426
MIM181500,D00426
MIM182830,D00426
MIM225740,D00426
MIM225755,D00426
MIM260970,D00426
MIM300494,D00426
MIM608033,D00426
MIM145590,D00428
MIM147530,D00428
MIM109100,D00429
MIM161900,D00431
MIM215140,D00431
MIM608622,D00431
MIM110100,D00432
MIM157700,D00432
MIM161900,D00432
MIM190300,D00432
MIM190310,D00432
MIM608622,D00432
MIM144010,D00434
MIM161900,D00437
MIM179600,D00437
MIM608622,D00437
MIM125310,D00438
MIM601367,D00438
MIM109350,D00440
MIM190310,D00440
MIM304790,D00440
MIM600263,D00440
MIM125852,D00442
MIM104130,D00443
MIM161900,D00443
MIM208300,D00443
MIM215140,D00443
MIM600351,D00443
MIM604416,D00443
MIM608622,D00443
MIM109350,D00446
MIM161900,D00446
MIM190310,D00446
MIM104130,D00448
MIM266600,D00448
MIM157300,D00451
MIM300125,D00451
MIM166760,D00453
MIM600263,D00453
MIM164230,D00454
MIM181500,D00454
MIM300494,D00454
MIM109350,D00455
MIM190310,D00455
MIM304790,D00455
MIM600263,D00455
MIM103780,D00456
MIM145590,D00456
MIM164230,D00456
MIM140600,D00463
MIM165720,D00463
MIM208230,D00463
MIM607459,D00463
MIM607850,D00463
MIM144110,D00465
MIM254200,D00469
MIM181460,D00471
MIM126200,D00472
MIM146850,D00472
MIM147540,D00472
MIM215140,D00472
MIM276300,D00472
MIM304790,D00472
MIM600351,D00472
MIM109100,D00473
MIM125600,D00473
MIM126200,D00473
MIM133600,D00473
MIM143880,D00473
MIM146850,D00473
MIM147540,D00473
MIM151590,D00473
MIM152700,D00473
MIM157300,D00473
MIM181000,D00473
MIM188030,D00473
MIM205700,D00473
MIM208550,D00473
MIM208920,D00473
MIM223350,D00473
MIM233810,D00473
MIM247640,D00473
MIM254400,D00473
MIM276300,D00473
MIM304790,D00473
MIM600351,D00473
MIM121201,D00474
MIM132090,D00474
MIM132100,D00474
MIM132300,D00474
MIM190300,D00474
MIM190310,D00474
MIM208700,D00474
MIM217200,D00474
MIM267740,D00474
MIM300491,D00474
MIM600131,D00474
MIM604827,D00474
MIM607628,D00474
MIM607631,D00474
MIM607681,D00474
MIM607682,D00474
MIM608105,D00474
MIM252320,D00487
MIM254200,D00487
MIM114480,D00491
MIM148000,D00491
MIM194070,D00491
MIM145590,D00493
MIM182830,D00493
MIM225740,D00493
MIM225755,D00493
MIM260970,D00493
MIM608033,D00493
MIM147540,D00494
MIM158280,D00494
MIM608088,D00494
MIM147530,D00498
MIM125310,D00501
MIM188050,D00501
MIM540000,D00501
MIM601367,D00501
MIM121200,D00506
MIM121201,D00506
MIM143500,D00506
MIM190310,D00506
MIM208085,D00506
MIM217200,D00506
MIM218800,D00506
MIM226150,D00506
MIM237450,D00506
MIM237500,D00506
MIM308600,D00506
MIM608217,D00506
MIM104130,D00512
MIM115000,D00512
MIM165199,D00512
MIM217200,D00512
MIM161900,D00513
MIM608622,D00513
MIM179600,D00515
MIM189800,D00515
MIM109350,D00516
MIM161900,D00516
MIM178600,D00516
MIM608320,D00516
MIM161900,D00519
MIM203700,D00519
MIM210050,D00519
MIM215140,D00519
MIM256370,D00519
MIM600351,D00519
MIM608622,D00519
MIM147540,D00521
MIM161900,D00522
MIM608622,D00522
MIM125850,D00523
MIM125851,D00523
MIM125853,D00523
MIM146255,D00523
MIM161900,D00523
MIM600496,D00523
MIM608622,D00523
MIM161900,D00525
MIM136200,D00528
MIM140600,D00528
MIM145590,D00528
MIM147530,D00528
MIM157300,D00528
MIM208700,D00533
MIM217200,D00533
MIM267740,D00533
MIM300491,D00533
MIM600131,D00533
MIM604827,D00533
MIM607628,D00533
MIM607631,D00533
MIM607681,D00533
MIM607682,D00533
MIM608105,D00533
MIM217200,D00535
MIM308350,D00535
MIM605021,D00535
MIM102100,D00536
MIM147530,D00537
MIM157300,D00537
MIM264120,D00537
MIM300125,D00537
MIM308350,D00537
MIM605021,D00537
MIM607499,D00537
MIM190300,D00538
MIM208700,D00538
MIM217200,D00538
MIM239350,D00538
MIM267740,D00538
MIM300491,D00538
MIM600131,D00538
MIM604827,D00538
MIM607628,D00538
MIM607631,D00538
MIM607681,D00538
MIM607682,D00538
MIM608105,D00538
MIM217200,D00539
MIM147530,D00546
MIM161900,D00546
MIM608622,D00546
MIM147530,D00552
MIM166760,D00552
MIM147530,D00553
MIM102500,D00554
MIM131200,D00554
MIM184700,D00554
MIM192000,D00554
MIM215470,D00554
MIM311360,D00554
MIM604416,D00554
MIM217200,D00555
MIM239350,D00555
MIM102300,D00558
MIM125320,D00558
MIM168100,D00558
MIM168600,D00558
MIM102300,D00559
MIM125320,D00559
MIM168100,D00559
MIM168600,D00559
MIM275000,D00562
MIM144010,D00565
MIM144650,D00565
MIM135550,D00567
MIM140600,D00567
MIM147530,D00567
MIM165720,D00567
MIM175100,D00567
MIM175505,D00567
MIM208230,D00567
MIM246470,D00567
MIM607459,D00567
MIM607850,D00567
MIM157300,D00568
MIM249100,D00570
MIM114480,D00573
MIM131200,D00573
MIM176807,D00573
MIM601518,D00573
MIM268320,D00574
MIM276300,D00577
MIM106400,D00584
MIM114480,D00584
MIM114500,D00584
MIM137215,D00584
MIM276300,D00584
MIM176807,D00586
MIM125850,D00593
MIM125851,D00593
MIM125853,D00593
MIM600496,D00593
MIM125850,D00594
MIM125851,D00594
MIM125853,D00594
MIM600496,D00594
MIM125850,D00596
MIM125851,D00596
MIM125853,D00596
MIM600496,D00596
MIM161900,D00602
MIM608622,D00602
MIM161900,D00607
MIM608622,D00607
MIM161900,D00613
MIM608622,D00613
MIM161900,D00614
MIM608622,D00614
MIM161900,D00618
MIM179600,D00618
MIM608622,D00618
MIM146255,D00622
MIM161900,D00622
MIM608622,D00622
MIM125850,D00625
MIM125851,D00625
MIM125853,D00625
MIM600496,D00625
MIM145500,D00627
MIM161900,D00627
MIM608622,D00627
MIM109350,D00630
MIM608320,D00630
MIM115000,D00647
MIM607554,D00647
MIM608583,D00647
MIM607554,D00648
MIM608583,D00648
MIM161900,D00650
MIM215140,D00650
MIM256370,D00650
MIM600351,D00650
MIM608622,D00650
MIM137750,D00652
MIM137760,D00652
MIM161900,D00652
MIM601682,D00652
MIM215140,D00656
MIM104300,D00670
MIM125320,D00670
MIM605055,D00670
MIM157300,D00675
MIM157300,D00680
MIM208550,D00684
MIM600807,D00684
MIM208550,D00685
MIM210050,D00685
MIM600807,D00685
MIM208550,D00691
MIM210050,D00691
MIM600807,D00691
MIM217200,D00708
MIM239350,D00708
MIM217200,D00709
MIM239350,D00709
MIM300491,D00709
MIM600131,D00709
MIM604827,D00709
MIM607628,D00709
MIM607631,D00709
MIM607681,D00709
MIM607682,D00709
MIM608105,D00709
MIM109350,D00726
MIM157300,D00726
MIM147530,D00732
MIM147530,D00733
MIM246300,D00754
MIM254500,D00754
MIM171300,D00762
MIM125310,D00769
MIM540000,D00769
MIM601367,D00769
MIM147530,D00771
MIM125320,D00779
MIM168100,D00779
MIM168100,D00781
MIM168600,D00781
MIM168100,D00786
MIM168600,D00786
MIM181500,D00788
MIM164230,D00811
MIM167870,D00811
MIM131300,D00823
MIM164230,D00823
MIM167870,D00823
MIM181500,D00823
MIM252320,D00823
MIM607499,D00823
MIM147530,D00837
MIM147530,D00842
MIM114580,D00882
MIM212050,D00882
MIM144010,D00893
MIM601367,D00893
MIM166760,D00917
MIM208550,D00917
MIM102500,D00939
MIM150600,D00939
MIM166710,D00939
MIM167320,D00939
MIM602080,D00939
MIM102400,D00941
MIM102500,D00941
MIM114480,D00941
MIM143880,D00941
MIM166300,D00941
MIM166710,D00941
MIM167320,D00941
MIM254500,D00941
MIM276300,D00941
MIM102500,D00942
MIM166710,D00942
MIM167320,D00942
MIM602080,D00942
MIM131200,D00950
MIM184700,D00950
MIM192000,D00950
MIM102500,D00951
MIM131200,D00951
MIM144700,D00951
MIM192000,D00951
MIM605839,D00951
MIM109100,D00952
MIM114480,D00952
MIM192000,D00952
MIM114480,D00960
MIM174800,D00960
MIM176807,D00961
MIM270960,D00962
MIM114480,D00963
MIM114480,D00964
MIM114480,D00966
MIM174800,D00966
MIM140600,D00968
MIM147530,D00968
MIM165720,D00968
MIM208230,D00968
MIM607459,D00968
MIM607850,D00968
MIM133690,D00969
MIM140600,D00969
MIM165720,D00969
MIM208230,D00969
MIM607459,D00969
MIM607850,D00969
MIM600634,D00987
MIM109350,D01000
MIM157950,D01000
MIM191800,D01000
MIM254200,D01001
MIM127350,D01108
MIM189800,D01108
MIM217200,D01108
MIM239350,D01108
MIM248190,D01108
MIM125850,D01111
MIM125851,D01111
MIM125853,D01111
MIM600496,D01111
MIM604416,D01112
MIM134430,D01136
MIM134500,D01136
MIM134510,D01136
MIM134520,D01136
MIM227300,D01136
MIM114480,D01161
MIM164230,D01164
MIM181500,D01164
MIM109350,D01167
MIM190310,D01167
MIM147530,D01179
MIM165199,D01179
MIM206200,D01194
MIM161900,D01204
MIM608622,D01204
MIM114480,D01223
MIM114500,D01223
MIM137215,D01223
MIM144700,D01223
MIM176807,D01223
MIM276300,D01223
MIM161900,D01227
MIM178600,D01227
MIM109100,D01276
MIM145500,D01302
MIM161900,D01302
MIM608622,D01302
MIM109800,D01363
MIM133239,D01363
MIM259500,D01363
MIM276300,D01363
MIM114580,D01364
MIM125600,D01364
MIM278200,D01367
MIM109543,D01370
MIM126200,D01370
MIM151400,D01370
MIM258360,D01370
MIM276300,D01370
MIM131440,D01441
MIM247640,D01441
MIM276300,D01441
MIM607685,D01441
MIM608088,D01481
MIM125853,D01599
MIM147530,D01692
MIM200170,D01692
MIM600082,D01692
MIM208550,D01703
MIM208550,D01708
MIM600807,D01708
MIM233810,D01820
MIM603165,D01825
MIM107650,D01832
MIM126200,D01832
MIM136200,D01832
MIM143465,D01832
MIM188050,D01844
MIM109543,D01907
MIM151400,D01907
MIM223350,D01907
MIM236000,D01907
MIM247640,D01907
MIM267730,D01907
MIM276300,D01907
MIM144010,D01915
MIM137750,D01964
MIM137760,D01964
MIM161900,D01964
MIM601682,D01964
MIM102500,D01968
MIM143880,D01968
MIM167320,D01968
MIM254500,D01968
MIM276300,D01968
MIM602080,D01968
MIM605839,D01968
MIM157300,D01973
MIM300125,D01973
MIM607498,D01973
MIM607501,D01973
MIM607508,D01973
MIM607516,D01973
MIM161900,D02008
MIM178600,D02008
MIM115000,D02066
MIM208550,D02066
MIM600807,D02066
MIM137750,D02076
MIM137760,D02076
MIM161900,D02076
MIM601682,D02076
MIM276300,D02106
MIM208550,D02147
MIM600807,D02147
MIM114480,D02165
MIM137215,D02165
MIM155600,D02165
MIM155601,D02165
MIM176807,D02165
MIM276300,D02165
MIM212140,D02176
MIM208550,D02212
MIM210050,D02212
MIM600807,D02212
MIM161900,D02229
MIM178600,D02229
MIM161900,D02237
MIM608622,D02237
MIM167320,D02285
MIM602080,D02285
MIM600803,D02299
MIM145590,D02327
MIM147540,D02327
MIM104300,D02331
MIM125320,D02331
MIM200170,D02331
MIM230450,D02331
MIM231900,D02331
MIM266120,D02331
MIM277460,D02331
MIM605055,D02331
MIM606703,D02331
MIM161900,D02338
MIM608622,D02338
MIM181500,D02340
MIM147530,D02341
MIM110100,D02342
MIM157700,D02342
MIM125310,D02347
MIM126200,D02347
MIM145600,D02347
MIM154276,D02347
MIM217150,D02347
MIM238800,D02347
MIM540000,D02347
MIM601042,D02347
MIM601367,D02347
MIM607225,D02347
MIM137750,D02349
MIM137760,D02349
MIM161900,D02349
MIM601682,D02349
MIM140600,D02355
MIM165720,D02355
MIM208230,D02355
MIM607459,D02355
MIM607850,D02355
MIM115000,D02356
MIM115195,D02356
MIM157300,D02356
MIM161900,D02356
MIM200170,D02356
MIM607554,D02356
MIM608583,D02356
MIM608622,D02356
MIM110100,D02358
MIM157700,D02358
MIM161900,D02358
MIM190300,D02358
MIM607554,D02358
MIM608583,D02358
MIM608622,D02358
MIM131300,D02360
MIM164230,D02360
MIM167870,D02360
MIM252320,D02360
MIM131300,D02362
MIM164230,D02362
MIM167870,D02362
MIM252320,D02362
MIM181000,D02366
MIM131200,D02367
MIM184700,D02367
MIM192000,D02367
MIM114480,D02368
MIM144700,D02368
MIM605839,D02368
MIM137750,D02374
MIM137760,D02374
MIM601682,D02374
MIM113610,D02437
MIM218200,D02437
MIM312910,D02437
MIM106400,D02500
MIM168100,D02562
MIM168600,D02562
MIM181500,D02671
MIM109800,D02697
MIM109543,D02698
MIM182280,D02698
MIM223350,D02698
MIM236000,D02698
MIM247640,D02698
MIM267730,D02698
MIM140600,D02709
MIM165720,D02709
MIM208230,D02709
MIM607459,D02709
MIM607850,D02709
MIM144700,D02714
MIM605839,D02714
MIM102300,D02716
MIM147530,D02716
MIM165199,D02716
MIM145500,D02721
MIM161900,D02721
MIM178600,D02721
MIM608622,D02721
MIM137750,D02724
MIM137760,D02724
MIM161900,D02724
MIM601682,D02724
MIM194200,D02769
MIM103780,D02780
MIM148000,D02815
MIM157300,D02824
MIM115000,D02910
MIM188050,D02980
MIM220120,D02982
MIM247200,D03021
MIM258360,D03021
MIM601004,D03021
MIM604416,D03034
MIM254400,D03106
MIM276300,D03106
MIM254500,D03150
MIM168100,D03165
MIM145590,D03182
MIM157300,D03182
MIM145500,D03208
MIM161900,D03208
MIM608622,D03208
MIM133239,D03327
MIM247640,D03546
MIM140600,D03580
MIM145590,D03580
MIM608088,D03580
MIM145590,D03621
MIM223350,D03658
MIM247640,D03658
MIM276300,D03658
MIM247200,D03665
MIM601004,D03665
MIM155100,D03674
MIM188050,D03674
MIM231200,D03674
MIM273800,D03674
MIM233810,D03696
MIM233810,D03697
MIM208750,D03730
MIM212112,D03730
MIM212130,D03730
MIM212350,D03730
MIM225740,D03730
MIM226000,D03730
MIM305300,D03730
MIM136200,D03740
MIM143465,D03740
MIM145590,D03742
MIM608088,D03742
MIM146255,D03752
MIM161900,D03752
MIM608622,D03752
MIM125310,D03753
MIM146255,D03753
MIM608320,D03753
MIM104300,D03822
MIM125320,D03822
MIM168100,D03822
MIM605055,D03822
MIM145590,D03858
MIM156000,D03858
MIM109800,D03899
MIM114480,D03899
MIM137215,D03899
MIM188470,D03899
MIM194070,D03899
MIM211980,D03899
MIM236000,D03899
MIM247640,D03899
MIM254500,D03899
MIM256700,D03899
MIM259500,D03899
MIM268220,D03899
MIM276300,D03899
MIM601626,D03899
MIM184700,D03917
MIM604416,D03917
MIM114480,D04024
MIM276300,D04024
MIM264120,D04028
MIM303110,D04028
MIM601665,D04028
MIM161900,D04040
MIM608622,D04040
MIM176807,D04066
MIM601518,D04066
MIM102500,D04070
MIM114480,D04070
MIM176807,D04070
MIM192000,D04070
MIM215470,D04070
MIM311360,D04070
MIM601518,D04070
MIM104300,D04292
MIM125320,D04292
