KEGGID	Name	GeneList
D00138	Scopolamine (INN), Transderm scop (TN)	1128, 1129, 1131, 1132, 1133
D00139	Methoxsalen (JP17/USP), Oxsoralen (TN), UVADEX (TN)	 
D00140	Akne-mycin (TN), EM, Eryc (TN), Erygel (TN), Erythromycin (JP17/USP/INN), Pce (TN), Staticin (TN), T-stat (TN)	 
D00141	Aconip (TN), Indocin (TN), Indometacin (JP17/INN), Indomethacin (USP)	5742, 5743
D00142	Methotrexate (JP17/USP/INN), Otrexup (TN), Xatmep (TN)	1719, 200895
D00143	Pregnenolone (JAN/INN)	 
D00144	Pyrazinamide (JP17/USP/INN), Pyrazinamide (TN)	 
D00145	Proloprim (TN), Trimethoprim (JAN/USP/INN), Trimpex (TN)	 
D00146	ACTH (TN), Acthar (TN), Corticotropin (USP/INN)	4158
D00147	Hyoscyamine (USP)	1128, 1129, 1131, 1132, 1133
D00148	Mephyton (TN), Phytomenadione (INN), Phytonadione (JP17/USP), Vitamin K1 (TN)	 
D00149	Parachlorophenol (JAN/USP), p-Chlorophenol	 
D00150	Angiotensin II (INN)	185, 186
D00151	Mefenamic acid (JP17/USP/INN), Ponstel (TN)	5742, 5743
D00152	Dilospan S (TN), Phloroglucinol (JAN)	1312
D00153	Teslac (TN), Testolactone (USP/INN)	1588
D00154	Santonin (JP17), Santonin (TN)	 
D00155	Nipent (TN), Pentostatin (JAN/USAN/INN)	100
D00156	Enoxolone (INN), Glycyrrhetinic acid (JAN), Hidermart (TN)	3290
D00157	Glycyrrhizic acid, Glycyrrhizin (JAN)	 
D00158	Tolectin (TN), Tolmetin sodium (JAN/USP), Tolmetin sodium dihydrate	5742, 5743
D00159	Frentizole (USAN/INN)	 
D00160	Amicar (TN), Aminocaproic acid (USP/INN), Epsilon-Aminocaproic acid (JAN)	5340
D00161	Mercaptopurine (USP), Mercaptopurine hydrate (JP17), Purinethol (TN), Purixan (TN)	3251
D00162	Aminosalicylic acid (USP), Pamisyl (TN), Paser (TN)	 
D00163	Chenix (TN), Chenodeoxycholic acid (JP17/INN), Chenodiol (USAN)	9971
D00164	Aquasol A (TN), Retinol palmitate (JP17)	5914, 5915, 5916
D00165	Carmol-HC (TN), Cortifoam (TN), Hydrocortisone acetate (JP17/USP)	2908
D00166	Cyanocobalamin (JP17/USP/INN), Cyomin (TN), Nascobal (TN), Rubramin PC (TN)	 
D00167	BAL (TN), Dimercaprol (JP17/USP/INN)	 
D00168	ARA-C, Cytarabine (JP17/USP/INN), Depocyt (TN)	 
D00169	Meclofenamate sodium (USP), Meclofenamate sodium monohydrate, Meclomen (TN)	5742, 5743
D00170	Cantabiline (TN), Hymecromone (JP17/USAN/INN)	 
D00171	Inulin (JAN/USP), Inulin and sodium chloride (TN)	 
D00172	Coagulation Factor VIIa, Eptacog alfa (INN), Eptacog alfa (activated) (genetical recombination) (JAN), Novo- seven (TN)	 
D00173	Evodia fruit (JP17), Evodia fruit (TN)	 
D00174	gamma-Amino-beta-hydroxybutyric acid (JAN)	 
D00175	L-Carbocisteine (JP17), Mucodyne (TN)	 
D00176	Protirelin (JP17/USAN/INN), Relefact TRH (TN)	7201
D00177	Cabagin U (TN), L-Methylmethionine sulfonium chloride, Methylmethionine sulfonium chloride (JAN)	 
D00178	Octopamine hydrochloride (JAN)	 
D00179	Androstenediol (JAN), Tetrabol (TN)	 
D00180	Alprostadil (JP17/USP/INN), Caverject (TN), Edex (TN), Muse (TN), Prostin VR pediatric (TN)	5731
D00181	Argatroban (USAN), Argatroban hydrate (JP17), Novastan (TN)	2147
D00182	Camila (TN), Micronor (TN), Norethindrone (USP), Norethisterone (JP17), Primolut-N (TN)	5241
D00183	NA, Nalidixic acid (JP17/USP/INN), NegGram (TN)	 
D00184	Ciclosporin (JP17), Cyclosporine (USP), Gengraf (TN), Neoral (TN), Restasis (TN), Sandimmune (TN)	11261, 5530, 5532, 5533, 5534, 5535, 63928
D00185	Estriel (TN), Estriol (JP17/USP)	2099, 2100
D00186	CPFX, Cipro (TN), Ciprofloxacin (JP17/USP/INN)	 
D00187	Calciferol (TN), Drisdol (TN), Ergocalciferol (JP17/USP), Vitamin D2	7421
D00188	Cholecalciferol (JP17/USP), Colecalciferol (INN), Delta-D (TN), Vitamin D3	7421
D00189	Diol (TN), Pregnanediol (JAN)	 
D00190	Rutin hydrate (JAN), Rutin trihydrate	 
D00191	Nascobal (TN), Vitamin B12	 
D00192	Phenylethyl alcohol (USP)	 
D00193	Dexpanthenol (USP/INN), Ilopan (TN), Panthenol (JAN)	1131
D00194	Limonene, d-Limonene (JAN)	 
D00195	Codeine (USP), Codeine hydrate	4988
D00196	Eserine (TN), Physostigmine (USP)	43
D00197	Apoplon (TN), Reserpine (JP17/USP/INN), Serpalan (TN)	6570, 6571
D00198	Rescinnamine (JAN/INN), Tsuruselpi S (TN)	 
D00199	Ajimalin (TN), Ajmaline (JP17)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D00200	Cianidanol (JAN/INN)	 
D00201	Sumycin (TN), TC, Tetracycline (JAN/USP/INN)	 
D00202	Mycostatin (TN), NYS, Nystatin (JP17/USP/INN)	 
D00203	AMPH-B, Ambisome (TN), Amphotec (TN), Amphotericin B (JP17/USP/INN), Fungizone (TN)	 
D00204	ABPC, Ampicillin (USP/INN), Anhydrous ampicillin (JP17), Omnipen (TN)	 
D00205	OTC, Oxytetracycline (JAN/USP/INN), Oxytetracycline dihydrate, Terramycin (TN)	 
D00206	IPM, Imipenem (USP), Imipenem hydrate (JP17)	 
D00208	MMC, Mitomycin (TN), Mitomycin (USP/INN), Mitomycin C (JP17), Muamycin (TN)	 
D00209	GRE, Gris-peg (TN), Grisactin V (TN), Griseofulvin (JAN/USP/INN)	 
D00210	NFLX, Norfloxacin (JP17/USP/INN), Noroxin (TN)	 
D00211	Rifadin (TN), Rifampicin (JP17/INN), Rifampin (USP), Rimactane (TN)	 
D00212	VCM, Vancocin (TN), Vancomycin (USP)	 
D00213	Fucidin leo (TN), Fusidate sodium (USAN), Sodium fusidate (JP17)	 
D00214	Actinomycin D (JP17), Cosmegen (TN), Dactinomycin (USP)	 
D00215	Mobisy (TN), Trolamine (NF)	 
D00216	Acarbose (JAN/USAN/INN), Precose (TN)	2548, 2595, 279, 280, 8972
D00217	Acetaminophen (JP17/USP), Paracetamol (INN), Tylenol (TN)	5742, 5743
D00218	Acetazolamide (JP17/USP/INN), Diamox (TN)	11238, 23632, 377677, 759, 760, 761, 762, 763, 765, 766, 767, 768, 771
D00219	Acetohexamide (JP17/USP/INN), Dymelor (TN)	6833
D00220	Acetohydroxamic acid (USP/INN), Lithostat (TN)	 
D00221	Acetylcysteine (JP17/USP/INN), Mucomyst (TN)	 
D00222	Aciclovir (JP17/INN), Acyclovir (USP), Sitavig (TN), Zovirax (TN)	 
D00223	LCM, Lincomycin (USAN/INN)	 
D00224	Allopurinol (JP17/USP/INN), Zyloprim (TN)	7498
D00225	Alprazolam (JP17/USP/INN), Xanax (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00226	Amifostine (USP), Amifostine hydrate, Ethyol (TN)	 
D00227	Aminophylline (USP/INN), Somophyllin (TN), Theophylline ethylenediamine (TN)	10846, 134, 136, 27115, 50940, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5150, 5151, 5153, 8622
D00228	Amoxapine (JP17/USP/INN), Asendin (TN)	6530, 6532
D00229	AMPC, Amoxicillin (USP), Amoxicillin hydrate (JP17), Amoxicillin trihydrate, Amoxicilline (INN), Amoxil (TN), Dispermox (TN), Pasetocin (TN)	 
D00230	Amoxicillin and clavulanate potassium, Amoxicillin and potassium clavulanate combination	 
D00231	Amcoral (TN), Amrinone (JAN/INN), Inamrinone (USP)	5139, 5140
D00232	Anisotropine methylbromide (USAN), Methyloctatropine bromide (JAN), Octatropine methylbromide (INN), Valpin (TN), Valpin 50 (TN)	1128, 1129, 1131, 1132, 1133
D00233	Anthraderm (TN), Anthralin (USP), Dithranol (INN)	 
D00234	Astemizole (JAN/USP/INN), Hismanal (TN)	3269
D00235	Atenolol (JP17/USP/INN), Tenormin (TN)	153
D00236	Atovaquone (JAN/USP/INN), Mepron (TN)	 
D00237	Auranofin (JP17/USAN/INN), Ridaura (TN)	 
D00238	Azasan (TN), Azathioprine (JP17/USP/INN), Imuran (TN)	 
D00240	AZT, Azactam (TN), Aztreonam (JP17/USP/INN)	 
D00241	Baclofen (JP17/USP/INN), Kemstro (TN), Lioresal (TN)	2550, 9568
D00242	Benzonatate (USP/INN), Tessalon perles (TN)	 
D00243	Benzquinamide (USAN)	 
D00244	Betamethasone (JP17/USP/INN), Celestone (TN), Rinderon (TN)	2908
D00245	Bisacodyl (JP17/USP/INN), Dulcolax (TN)	 
D00246	Budesonide (JAN/USAN/INN), Entocort EC (TN), Pulmicort (TN), Rhinocort (TN), Uceris (TN)	2908
D00247	Bumetanide (JP17/USP/INN), Bumex (TN)	6557, 6558, 6560
D00248	Busulfan (JP17/USP/INN), Myleran (TN)	 
D00249	Calcimar (TN), Calcitonin salmon (JP17/USAN/INN), Fortical (TN), Miacalcin (TN), Salmon calcitonin	799
D00250	Capsaicin (JAN/USP), Zostrix (TN)	7442
D00251	Apopril (TN), Capoten (TN), Captopril (JP17/USP/INN)	1636
D00252	Carbamazepine (JP17/USP/INN), Equetro (TN), Tegretol (TN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D00253	Carbidopa hydrate and levodopa, Parcopa (TN), Sinemet (TN)	 
D00254	Bicnu (TN), Carmustine (JAN/USAN/INN), Gliadel (TN)	 
D00255	Artist (TN), Carvedilol (JP17/USAN/INN), Coreg (TN)	146, 147, 148, 153, 154
D00256	Alenfral (TN), CCL, Cefaclor (JP17), Cefaclor anhydrous	 
D00257	CDX, Cefadroxil (JP17), Sumacef (TN)	 
D00258	CFIX, Cefixime (INN)	 
D00259	Ceforanide (USP/INN), Precef (TN)	 
D00260	CTT, Cefotetan (JP17/USP/INN)	 
D00261	CFPZ, Cefprozil (USP), Cefprozil monohydrate, Cefzil (TN)	 
D00262	CXM, Cefuroxime (TN), Cefuroxime (USAN/INN)	 
D00263	CEX, Cefalexin (JP17), Cephalexin, Keflex (TN)	 
D00264	Anspor (TN), CED, Cefradine (JAN/INN), Cephradine (USP), Velosef (TN)	 
D00265	Chloral hydrate (JP17/USP), Noctec (TN)	 
D00266	Chlorambucil (JAN/USP/INN), Leukeran (TN)	 
D00267	Chlordiazepoxide (JP17/USP/INN), Libritabs (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00268	Chlormezanone (JAN/INN), Trancopal (TN)	 
D00269	Chlorotrianisene (INN), TACE (TN)	2099, 2100
D00270	Chlorpromazine (USP/INN), Thorazine (TN)	1128, 1129, 1131, 1132, 1133, 150, 151, 152, 1813, 3269, 3356, 3357, 3358
D00271	Chlorpropamide (JP17/USP/INN), Diabinese (TN)	3767, 6833
D00272	Chlortalidone (JAN/INN), Chlorthalidone (USP), Hygroton (TN), Thalitone (TN)	6557, 6559
D00273	Cidofovir (USAN/INN), Cidofovir dihydrate, Vistide (TN)	 
D00274	Cisapride (USAN/INN)	3356, 3359, 3360
D00275	Cisplatin (JP17/USP/INN), Platinol (TN)	 
D00276	Biaxin (TN), CAM, Clarithromycin (JP17/USP/INN)	 
D00277	CLDM, Cleocin (TN), Clindamycin (USAN/INN)	 
D00278	Clofazimine (JAN/USP/INN), Lamprene (TN)	 
D00279	Atromid-S (TN), Clofibrate (JP17/USP/INN)	5465
D00280	Clonazepam (JP17/USP/INN), Klonopin (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00281	Catarpres-TTS (TN), Clonidine (JAN/USP/INN)	150, 151, 152
D00282	Clotrimazole (JP17/USP/INN), Lotrimin (TN), Mycelex (TN)	 
D00283	Clozapine (JAN/USP/INN), Clozaril (TN)	150, 151, 152, 170572, 1815, 200909, 285242, 3356, 3358, 3359, 9177
D00284	Cortrosyn (TN), Cosyntropin (USAN), Tetracosactide (INN)	4158
D00285	Bactrim (TN), Co-Trimoxazole (BAN), Septra (TN), Sulfamethoxazole and trimethoprim	 
D00286	Cyclandelate (JAN/USP/INN), Cyclospasmol (TN)	 
D00287	Cyclophosphamide (USP), Cyclophosphamide hydrate (JP17), Cytoxan (TN), Neosar (TN)	 
D00288	DTIC-Dome (TN), Dacarbazine (JAN/USP/INN)	 
D00289	Danazol (JP17/USP/INN), Danocrine (TN)	2099, 367, 5241
D00290	DMCTC, Declomycin (TN), Demeclocycline hydrochloride (USP), Demethylchlortetracycline hydrochloride (JP17)	 
D00291	Desmopressin (INN)	2157, 554
D00292	Decadron (TN), Dexamethasone (JP17/USP/INN), Maxidex (TN)	2908
D00293	Diastat (TN), Diazepam (JP17/USP/INN), Valium (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00294	Diazoxide (JAN/USP/INN), Hyperstat (TN), Proglycem (TN)	3767, 6833
D00295	Cimetidine (JP17/USP/INN), Tagamet (TN)	3274
D00296	Didanosine (JAN/USAN/INN), Videx (TN)	 
D00297	Crystodigin (TN), Digitoxin (JAN/USP/INN)	476, 477, 478, 480
D00298	Digoxin (JP17/USP), Lanoxicaps (TN), Lanoxin (TN)	476, 477, 478, 480
D00299	Dihydrotachysterol (JAN/USP/INN), Hytakerol (TN)	7421
D00300	Diphenhydramine (JP17/INN), Restamin (TN)	3269
D00301	Atropine sulfate and diphenoxylate hydrochloride, Diphenoxylate and atropine, Lomotil (TN)	 
D00302	Dipyridamole (JP17/USP/INN), Persantine (TN)	5141, 8654
D00303	Disopyramide (JP17/USAN/INN), Rythmodan P (TN)	11280, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336
D00304	Depakote (TN), Divalproex sodium (USP), Valproate semisodium (INN)	18, 2571, 2572, 7915, 8911, 8912, 8913
D00305	Colace (TN), Dioctyl sodium sulfosuccinate (JAN), Docusate sodium (USP), Sodium dioctyl sulfosuccinate (INN)	 
D00306	Dronabinol (USP/INN), Marinol (TN), Tetrahydrocannabinol	1268, 1269
D00307	DOXY, Doxycycline (USP), Doxycycline hydrate, Monodox (TN), Oracea (TN)	 
D00308	Droleptan (TN), Droperidol (JP17/USP/INN), Inapsine (TN)	146, 147, 148, 1813
D00309	Metoprine (USAN)	 
D00310	ENX, Enoxacin (USAN/INN), Penetrex (TN)	 
D00311	Estazolam (JP17/USAN/INN), ProSom (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00312	Estrone sodium sulfate, Sodium estrone sulfate	2099, 2100
D00313	Etacrynic acid (JP17/INN), Ethacrynic acid (USP)	6557, 6558
D00314	Didronel (TN), Etidronate disodium (JP17/USP)	 
D00315	Etodolac (JP17/USP/INN), Lodine (TN)	5743
D00316	Etretinate (JAN/USAN/INN), Tegison (TN)	5914, 5915, 5916, 6256, 6257, 6258
D00317	Famciclovir (JAN/USAN/INN), Famvir (TN)	 
D00318	Famotidine (JP17/USP/INN), Fluxid (TN), Pepcid (TN)	3274
D00319	Felodipine (JAN/USP/INN), Plendil (TN)	775, 776, 778, 779
D00320	Duragesic (TN), Fentanyl (JAN/USAN/INN), Subsys (TN)	4988
D00321	Finasteride (JAN/USP/INN), Propecia (TN), Proscar (TN)	6716
D00322	Diflucan (TN), Fluconazole (JP17/USAN/INN)	 
D00323	5-FC, Ancobon (TN), Flucytosine (JP17/USP/INN)	 
D00324	Aerospan (TN), Flunisolide (JAN/USP), Nasalide (TN)	2908
D00325	Fluocinonide (JP17/USP/INN), Lidex (TN), Vanos (TN)	2908
D00326	Fluoxetine (TN), Fluoxetine (USAN/INN)	6532
D00327	Androxy (TN), Fluoxymesterone (JAN/USP/INN), Halotestin (TN)	367
D00328	Cordran (TN), Fludroxycortide (JAN/INN), Flurandrenolide (USP)	2908
D00329	Flurazepam (JAN/INN), Insumin (TN)	2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879
D00330	Ansaid (TN), Flurbiprofen (JP17/USP/INN)	5742, 5743
D00331	Frusemide, Furosemide (JP17/USP/INN), Lasix (TN)	6557, 6558
D00332	Gabapentin (JAN/USAN/INN), Gralise (TN), Neurontin (TN)	55799, 6529, 781, 9254, 93589
D00333	Cytovene (TN), Ganciclovir (JAN/USP/INN), Vitrasert (TN), Zirgan (TN)	 
